state,year,category,cost
Alabama,2008,food,6957.535
Alabama,2009,food,6813.839999999999
Alabama,2010,food,6981.9675
Alabama,2011,food,6950.0675
Alabama,2012,food,6897.2875
Alabama,2013,food,6970.3675
Alabama,2014,food,6970.005
Alabama,2015,food,6893.155000000001
Alabama,2016,food,6953.837500000001
Alabama,2017,food,6920.1975
Alabama,2018,food,6707.9175
Alabama,2019,food,6858.5725
Alabama,2021,food,6810.360000000001
Alabama,2022,food,6862.56
Alabama,2023,food,6892.139999999999
Alaska,2008,food,7679.5625
Alaska,2009,food,7664.7
Alaska,2010,food,7547.177500000001
Alaska,2011,food,7508.7525
Alaska,2012,food,7365.564999999999
Alaska,2013,food,7264.354999999999
Alaska,2014,food,7248.9125
Alaska,2015,food,7580.164999999999
Alaska,2016,food,7792.3725
Alaska,2017,food,7811.367499999999
Alaska,2018,food,7480.839999999999
Alaska,2019,food,7288.3525
Alaska,2021,food,7915.332500000001
Alaska,2022,food,7655.129999999999
Alaska,2023,food,7276.969999999999
Arizona,2008,food,7464.164999999999
Arizona,2009,food,7713.855
Arizona,2010,food,7257.105
Arizona,2011,food,7174.237499999999
Arizona,2012,food,7123.125
Arizona,2013,food,7076.4349999999995
Arizona,2014,food,7087.237499999999
Arizona,2015,food,7146.18
Arizona,2016,food,7095.2125
Arizona,2017,food,7046.855
Arizona,2018,food,6948.182500000001
Arizona,2019,food,6960.29
Arizona,2021,food,6894.895
Arizona,2022,food,7112.54
Arizona,2023,food,7066.719999999999
Arkansas,2008,food,6955.794999999999
Arkansas,2009,food,6798.470000000001
Arkansas,2010,food,6998.86
Arkansas,2011,food,6954.200000000001
Arkansas,2012,food,6843.13
Arkansas,2013,food,6909.83
Arkansas,2014,food,6862.27
Arkansas,2015,food,6803.6175
Arkansas,2016,food,6872.7825
Arkansas,2017,food,6851.25
Arkansas,2018,food,6745.9075
Arkansas,2019,food,6871.115
Arkansas,2021,food,6932.304999999999
Arkansas,2022,food,6750.33
Arkansas,2023,food,6679.7875
California,2008,food,7787.079999999999
California,2009,food,7589.155000000001
California,2010,food,7469.8925
California,2011,food,7510.129999999999
California,2012,food,7545.944999999999
California,2013,food,7560.88
California,2014,food,7564.795
California,2015,food,7653.679999999999
California,2016,food,7569.6525
California,2017,food,7572.987500000001
California,2018,food,7647.227499999999
California,2019,food,7697.9775
California,2021,food,7840.5125
California,2022,food,7861.32
California,2023,food,7795.924999999999
Colorado,2008,food,7573.567499999999
Colorado,2009,food,7403.700000000001
Colorado,2010,food,7346.715000000001
Colorado,2011,food,7369.4075
Colorado,2012,food,7351.0650000000005
Colorado,2013,food,7328.444999999999
Colorado,2014,food,7269.067500000001
Colorado,2015,food,7242.097500000001
Colorado,2016,food,7241.6625
Colorado,2017,food,7221.9425
Colorado,2018,food,7077.522499999999
Colorado,2019,food,7364.695
Colorado,2021,food,7378.035
Colorado,2022,food,7333.882499999999
Colorado,2023,food,7113.554999999999
Connecticut,2008,food,7928.3825
Connecticut,2009,food,7870.31
Connecticut,2010,food,7512.45
Connecticut,2011,food,7523.47
Connecticut,2012,food,7583.5
Connecticut,2013,food,7560.6625
Connecticut,2014,food,7499.472500000001
Connecticut,2015,food,7483.45
Connecticut,2016,food,7512.812499999999
Connecticut,2017,food,7568.71
Connecticut,2018,food,7353.530000000001
Connecticut,2019,food,7157.925
Connecticut,2021,food,7031.847500000001
Connecticut,2022,food,7327.72
Connecticut,2023,food,7059.47
Delaware,2008,food,7503.17
Delaware,2009,food,7390.360000000001
Delaware,2010,food,7360.49
Delaware,2011,food,7431.395
Delaware,2012,food,7210.125
Delaware,2013,food,7041.7074999999995
Delaware,2014,food,6934.262499999999
Delaware,2015,food,7041.924999999999
Delaware,2016,food,7149.804999999999
Delaware,2017,food,6996.83
Delaware,2018,food,7025.7575
Delaware,2019,food,6939.6275
Delaware,2021,food,6852.7725
Delaware,2022,food,6862.415
Delaware,2023,food,7131.3175
District of Columbia,2008,food,8133.8475
District of Columbia,2009,food,8176.3324999999995
District of Columbia,2010,food,7939.765
District of Columbia,2011,food,7819.777499999999
District of Columbia,2012,food,7674.270000000001
District of Columbia,2013,food,8038.0025
